Team,MP,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,off_eFG%,off_TOV%,off_ORB%,off_FT/FGA,def_eFG%,def_TOV%,def_DR,def_FT/FGA,Attend./G,win_perc,FG%,Dist.,fga_perc_2P,fga_perc_0-3,fga_perc_3-10,fga_perc_10-16,fga_perc_16-3P,fga_perc_3P,fg_perc_2P,fg_perc_0-3,fg_perc_3-10,fg_perc_10-16,fg_perc_16-3P,fg_perc_3P,fg_ast_perc_2P,fg_ast_perc_3P,dunks_%FGA,dunks_Md.,layups_%FGA,layups_Md.,corner_%3PA,corner_3P%,heave_Att.,heave_Md.,Year
Milwaukee Bucks,19830,16.4,22.1,0.743,11.0,37.0,48.0,25.5,6.3,4.9,14.4,17.8,115.4,29.8,50,32,3.63,-0.02,3.61,115.4,111.9,3.5,100.5,0.248,0.446,0.583,0.555,12.7,25.0,0.184,0.52,10.4,77.8,0.175,17531,0.707,0.473,15.3,0.554,0.236,0.156,0.091,0.071,0.446,0.557,0.724,0.443,0.429,0.417,0.368,0.489,0.819,0.052,351,0.25,1103,0.23,0.379,11.0,0.0,2023
Minnesota Timberwolves,19830,17.6,23.3,0.755,9.0,32.2,41.1,25.7,7.9,5.3,15.1,21.2,113.7,25.8,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,0.271,0.381,0.592,0.56,13.6,21.5,0.205,0.54,13.3,74.3,0.225,16769,0.512,0.49,13.2,0.619,0.285,0.208,0.075,0.051,0.381,0.568,0.723,0.439,0.451,0.399,0.365,0.539,0.79,0.067,436,0.297,1256,0.241,0.395,20.0,0.0,2023
New Orleans Pelicans,19855,19.3,24.4,0.793,10.6,33.2,43.7,25.9,8.3,4.1,14.6,20.5,114.4,25.9,46,36,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,0.543,12.9,24.7,0.221,0.543,13.4,77.4,0.212,16773,0.512,0.48,13.1,0.656,0.259,0.231,0.1,0.066,0.344,0.541,0.698,0.445,0.482,0.347,0.364,0.517,0.894,0.064,408,0.292,1180,0.23,0.367,18.0,0.0,2023
New York Knicks,19955,19.7,25.8,0.761,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,117.8,24.5,48,34,2.93,0.06,2.99,117.8,114.8,3.0,97.1,0.285,0.4,0.577,0.541,11.4,28.3,0.217,0.536,11.4,77.1,0.21,19393,0.573,0.47,13.6,0.6,0.266,0.196,0.096,0.043,0.4,0.547,0.679,0.46,0.424,0.404,0.354,0.428,0.82,0.066,425,0.246,1021,0.272,0.382,9.0,0.0,2023
Oklahoma City Thunder,19855,18.8,23.3,0.809,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,115.2,22.8,44,38,1.09,-0.12,0.96,115.2,114.2,1.0,101.1,0.256,0.369,0.57,0.531,11.2,24.7,0.207,0.547,14.4,72.9,0.222,15534,0.488,0.465,13.1,0.631,0.276,0.217,0.096,0.043,0.369,0.53,0.658,0.413,0.469,0.424,0.356,0.444,0.879,0.047,320,0.325,1349,0.203,0.4,12.0,0.0,2023
Orlando Magic,19780,19.6,25.0,0.784,10.2,33.1,43.3,23.3,7.4,4.7,15.1,20.2,111.6,23.1,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,17766,0.415,0.47,13.5,0.639,0.249,0.221,0.094,0.076,0.361,0.539,0.713,0.44,0.427,0.398,0.346,0.47,0.858,0.064,395,0.297,1182,0.213,0.415,9.0,0.0,2023
Philadelphia 76ers,19880,21.4,25.6,0.835,8.9,32.9,41.8,25.7,7.9,4.8,14.0,20.9,117.7,28.2,52,30,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,0.563,12.6,21.6,0.25,0.541,13.0,77.2,0.217,20470,0.659,0.487,14.0,0.611,0.255,0.192,0.11,0.054,0.389,0.551,0.698,0.431,0.461,0.473,0.387,0.525,0.82,0.045,266,0.277,1120,0.26,0.404,13.0,0.0,2023
Phoenix Suns,19780,17.4,22.0,0.793,12.0,32.8,44.8,27.6,7.2,5.3,13.7,21.5,115.1,28.1,46,36,2.07,0.01,2.08,115.1,113.0,2.1,98.2,0.241,0.362,0.57,0.535,12.0,26.6,0.191,0.532,12.9,76.0,0.234,17071,0.549,0.467,14.3,0.638,0.194,0.203,0.159,0.083,0.362,0.52,0.693,0.442,0.46,0.424,0.374,0.562,0.856,0.047,306,0.205,847,0.291,0.421,13.0,0.0,2023
Portland Trail Blazers,19730,19.9,24.9,0.796,9.6,31.5,41.0,24.5,6.8,4.6,14.6,20.3,114.8,25.1,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,0.549,13.1,22.4,0.23,0.563,12.1,74.9,0.217,18716,0.402,0.474,14.2,0.586,0.291,0.165,0.069,0.062,0.414,0.55,0.673,0.434,0.438,0.41,0.365,0.509,0.786,0.059,360,0.28,1154,0.206,0.366,9.0,0.0,2023
Sacramento Kings,19830,19.6,24.8,0.79,9.4,32.6,42.0,27.0,6.9,3.3,13.3,19.5,119.4,25.4,47,35,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,0.572,12.0,22.7,0.225,0.563,12.6,77.2,0.203,17451,0.585,0.494,14.3,0.577,0.246,0.201,0.08,0.05,0.423,0.586,0.742,0.488,0.437,0.45,0.369,0.505,0.888,0.06,390,0.264,1180,0.229,0.397,9.0,0.0,2023
San Antonio Spurs,19855,15.4,20.7,0.743,11.5,31.1,42.6,26.5,6.8,3.8,14.9,19.4,110.2,23.9,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,0.525,13.0,25.6,0.17,0.576,12.0,74.9,0.201,15508,0.268,0.465,13.1,0.652,0.258,0.23,0.112,0.053,0.348,0.529,0.679,0.442,0.412,0.425,0.345,0.53,0.924,0.04,265,0.303,1339,0.216,0.367,18.0,0.0,2023
Toronto Raptors,19805,18.8,24.0,0.784,13.0,31.0,44.0,24.5,9.6,5.3,11.9,20.5,115.5,25.8,45,37,1.48,0.12,1.59,115.5,114.0,1.5,97.1,0.257,0.351,0.555,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,19787,0.5,0.459,13.6,0.649,0.244,0.224,0.097,0.085,0.351,0.525,0.696,0.444,0.407,0.384,0.335,0.482,0.83,0.065,436,0.259,1091,0.267,0.363,22.0,0.0,2023
Utah Jazz,19805,18.5,23.6,0.786,11.7,33.7,45.4,25.7,6.0,5.2,15.2,20.2,115.8,26.5,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,0.547,13.3,26.8,0.209,0.541,10.9,75.2,0.205,17762,0.451,0.473,14.3,0.579,0.204,0.265,0.073,0.037,0.421,0.56,0.707,0.498,0.439,0.439,0.353,0.5,0.854,0.071,460,0.274,1144,0.22,0.413,16.0,0.0,2023
Washington Wizards,19755,17.8,22.7,0.785,9.5,34.6,44.1,25.7,6.9,5.2,14.3,19.0,114.4,26.2,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.5,0.258,0.365,0.585,0.55,12.7,22.6,0.202,0.54,11.0,76.0,0.195,17329,0.427,0.485,14.2,0.635,0.211,0.243,0.106,0.075,0.365,0.559,0.759,0.47,0.459,0.428,0.356,0.508,0.862,0.059,377,0.272,1118,0.215,0.399,16.0,2.0,2023
